Crop,Stage,Disease Name,Pathogen Type , Favorable Weather Conditions ,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
corn,Dough (R4),Aspergillus Ear Rot (Aflatoxin),Fungus (Aspergillus flavus),"Hot (>32°C), drought, low humidity",Green-yellow powdery mold on kernels,Drought-stress at R4 increases aflatoxin production,"Irrigation, reduce stress, timely harvest","Canopy temperature rise, soil moisture drop"
corn,Dough (R4),Diplodia Ear Rot,Fungus (Stenocarpella maydis),"Wet, humid conditions; continuous rains",White mold starting at base of ear; kernels appear dull,R4 ears retain moisture inside husk → ideal fungal growth,"Fungicide at VT–R1, residue management","High humidity inside husk, NDVI drop in patches"
corn,Dough (R4),Anthracnose Stalk Rot,Fungus (Colletotrichum graminicola),"Warm, wet → then dry stress","Premature plant senescence, stalk softness, lodging",R4 demands high nutrients; stress weakens stalk giving pathogen entry,"Balanced fertilizer, irrigation scheduling","Lodging risk, NDVI decline in lower canopy"
corn,Dough (R4),Charcoal Rot,Fungus (Macrophomina phaseolina),"Hot, dry conditions",Gray-black microsclerotia inside stalk; premature drying,Drought during R4 increases root and stalk stress,"Irrigate, avoid overplanting, improve soil organic matter","Soil moisture < 20%, canopy temperature spikes"
corn,Dough (R4),Southern Rust,Fungus,"Warm, humid (25–30°C), rains",Orange pustules on upper leaf surfaces,Heavy canopy still critical for grain fill; rust reduces photosynthesis,"Resistant hybrids, fungicide","Humidity rise, warm nights, NDVI top-leaf decline"
corn,Dough (R4),Corn Leaf Aphid → Secondary Sooty Mold,Pest (Aphid) + Fungal complex,"Humid, warm weather","Honeydew on leaves, black sooty mold growth",R4 sap-rich leaves attract aphids; mold grows on honeydew,"Aphid control, biocontrol insects","Aphid count, leaf stickiness, NDVI mottling"
corn,Dough (R4),Fall Armyworm (Late Feeding),Pest (Larvae),"Warm, humid, cloudy","Feeding on husk and kernels, frass at ear",Larvae prefer soft kernels at R4,"Pheromone traps, insecticide if threshold exceeded","Trap captures, caterpillar count, kernel damage"
corn,Dough (R4),Corn Borer (2nd Generation),Pest,"Warm nights, moderate humidity","Shank feeding → ear droppage, tunneling",Shank soft at R4; easy entry for larvae,"Bt hybrids, insecticide","Pheromone trap count, stalk weakness"
corn,Dough (R4),Maize Dwarf Mosaic Virus (MDMV),Virus,Warm temperature + aphids,"Mosaic, yellow streaks on leaves",Aphid activity peaks in warm R4 weather,"Resistant hybrids, vector control","Aphid pressure, NDVI mosaic pattern"
corn,Dent (R5),Fusarium Ear Rot,Fungus (Fusarium verticillioides),Warm → dry periods followed by humidity,White to pink fungal growth between kernels,R5 kernels still soft; insect damage allows fungal entry,"Control ear-feeding insects, timely harvest","Kernel moisture, heat stress, NDVI decline around ear"
corn,Dent (R5),Gibberella Ear Rot,Fungus (Fusarium graminearum),"Cool, wet, humid weather",Pinkish-red mold at ear tip extending downward,Tight husk traps moisture around kernels,"Fungicide at VT–R1, rotation, residue management","Humidity >90%, prolonged rainfall, ear tip mold"
corn,Dent (R5),Diplodia Ear Rot,Fungus (Stenocarpella maydis),"Continuous rains or dew, high humidity",White mold on kernels starting at ear base,Ear physiology traps moisture; ideal for Diplodia spread,"Fungicide timing, residue reduction","Canopy humidity, NDVI small patch declines"
corn,Dent (R5),Aspergillus Ear Rot (Aflatoxin),Fungus,"High heat (>32°C), drought",Yellow-green powdery mold,Heat and moisture stress during late grain fill increases aflatoxin risk,"Irrigation scheduling, reduce plant stress","Canopy temperature spikes, soil moisture drop"
corn,Dent (R5),Anthracnose Stalk Rot,Fungus,"Warm, wet → followed by dry stress","Lower stalk hollowing, black streaking",R5 is high-stress stage → stalk weakens as nutrients move to grain,"Balanced nutrition, irrigation, hybrid resistance","Stalk strength tests, NDVI decline near lower stem"
corn,Dent (R5),Charcoal Rot,Fungus (Macrophomina),"Hot, dry weather",Premature plant drying; black microsclerotia,Drought at R5 reduces plant carbohydrates → stalk more susceptible,"Irrigate, avoid overplanting","Soil moisture below 20%, canopy heat"
corn,Dent (R5),Southern Rust,Fungus (Puccinia polysora),"Warm (25–30°C), humid, rainy",Orange pustules; rapid leaf blighting,R5 leaves still critical for kernel fill; rust reduces grain weight,"Fungicide if severe, resistant hybrids","Humidity rise, warm nights, NDVI drop in upper leaves"
corn,Dent (R5),Common Rust,Fungus,Moderate temps + dew,Brown-red pustules across leaves,Late-season infections still reduce photosynthesis,"Resistant hybrids, timely fungicide","Leaf moisture, dew duration"
corn,Dent (R5),Corn Borer (Late Generation),Pest,"Warm nights, moderate humidity",Shank tunneling → ear droppage,Shank tissue soft at R5 → easy feeding,"Bt hybrids, insecticide if threshold reached","Pheromone trap counts, shank damage"
corn,Dent (R5),Fall Armyworm,Pest,"Warm, humid, cloudy",Feeding on husk and mature kernels,Larvae prefer dent-stage kernels,"Traps, biological control, insecticide","Caterpillar count, NDVI localized injury"
corn,Dent (R5),Corn Leaf Aphid (Late Season),Pest,Warm humid,"Sticky honeydew, sooty mold",Aphids feed on stressed plants late-season,"Biocontrol insects, aphid sprays","Aphid count, leaf glossiness, NDVI mottling"
corn,Dent (R5),Maize Dwarf Mosaic Virus (MDMV),Virus,Warm weather + aphid activity,"Yellow mosaic, streaking",Late infections still reduce kernel fill,"Control aphids, resistant varieties","Aphid pressure, NDVI mosaic pattern"
corn,Grain Filling,Fusarium Ear Rot (Fusarium verticillioides),Fungus,"Warm (25–32°C), alternating humid–dry cycles","White–pink mold in kernels, shriveling during fill",Grain-filling kernels are high-moisture → ideal fungal colonization,"Prevent drought stress, control insects, rotate crops","Alternating dry↔humid cycles, NDVI drop at ear zone, insect silk/ear damage"
corn,Grain Filling,Gibberella Ear Rot (Fusarium graminearum),Fungus,Cool (15–20°C) and wet conditions,Pink–red mold spreading from tip; poor kernel fill,Husk retains moisture in early grain fill,"Good drainage, fungicide at VT–R1 earlier, rotation","High humidity > 90%, >48 hrs leaf/ear wetness"
corn,Grain Filling,Diplodia Ear Rot (Stenocarpella maydis),Fungus,"Cool, wet post-silking weather","White mold between kernels, husks turning brown",Ear moisture remains high at early grain fill,"Remove residue, rotate crops, hybrid resistance",NDVI drop at ear leaf; humidity spikes
corn,Grain Filling,Aspergillus Ear Rot (Aspergillus flavus),Fungus,"Hot (>30°C), drought stress",Yellow-green mold on kernels; shriveled grain,Heat stress weakens kernel defense during filling,"Maintain irrigation, hybrid choice, avoid moisture stress","Thermal hotspots, soil moisture < 25%, canopy temp rise"
corn,Grain Filling,Common Rust (Puccinia sorghi),Fungus,Moderate temps + humidity,Heavy pustules reduce photosynthesis → kernel shrinkage,Grain fill depends on leaf health; rust reduces source strength,"Resistant hybrids, timely fungicide (VT–R1)","NDVI decline in upper canopy, RH > 70%"
corn,Grain Filling,Gray Leaf Spot (Cercospora zeae-maydis),Fungus,"Warm, very humid, cloudy",Rectangular lesions increase; severe reduction in ear-leaf photosynthesis,Ear leaf is primary energy source at grain fill,"Earlier fungicide (VT–R1), reduce canopy humidity","Humidity > 90%, lesion spread along veins"
corn,Grain Filling,Northern Corn Leaf Blight (NCLB),Fungus,"Cool–moderate temps, leaf wetness",Long lesions expanding rapidly during R3–R4,Grain fill heavily dependent on healthy leaf area,"Resistant varieties, scouting, fungicide if severe","Leaf-wetness > 10 hrs, NDVI striping"
corn,Grain Filling,Stalk Rot (Gibberella & Fusarium),Fungus,"Warm, wet early season → dry late season","Premature plant death, rotting at stalk base",High carbohydrate demand → stalks weaken,"Potassium management, irrigation, avoid stress","Lodging rate, stalk push test fails, NDVI collapse late-season"
corn,Grain Filling,Anthracnose Stalk Rot (Colletotrichum graminicola),Fungus,"Warm, humid",Shiny black discoloration on stalk; top dieback,Grain filling pulls sugars from stalk → weakened defenses,"Balanced fertility, rotation, residue control",Satellite dryness + NDVI drop; stem softness
corn,Grain Filling,Corn Earworm (Helicoverpa zea),Pest,"Warm nights, high humidity","Kernel feeding holes, frass, poor fill",R3 kernels still soft → ideal for chewing,"Pheromone traps, insecticide threshold","Trap count > threshold, ear tip chewing"
corn,Grain Filling,Fall Armyworm (Spodoptera frugiperda),Pest,"Warm, humid","Boreholes on husk, missing kernels",Husks at grain fill still penetrable,"Early detection, insecticide","Larval counts, leaf tearing near ear"
corn,Grain Filling,Root-Knot Nematodes (Meloidogyne spp.),Nematode,Warm soils > 25°C,"Stunting, poor grain fill, uneven kernel development",High nutrient demand stresses infected roots,"Nematicides, crop rotation, organic matter","NDVI patchiness, soil moisture irregularities"
corn,Physiological Maturity (R6),Stalk Rot (Fusarium / Gibberella),Fungus,Warm early season + late-season drought,"Stalk softening, shredding when pressed, lodging",Carbohydrates diverted to grain → stalk becomes weak,"Balanced K, reduce drought stress, hybrid resistance","Lodging %, stalk push test failures, NDVI collapse in late canopy"
corn,Physiological Maturity (R6),Anthracnose Stalk Rot (Colletotrichum graminicola),Fungus,"Warm, humid",Black shiny discoloration on stalk; plant top dieback,Dead canopy + high N promotes fungal movement,"Residue management, potassium balance","NDVI drop in lower canopy, humidity > 85%"
corn,Physiological Maturity (R6),Diplodia Ear Rot (Stenocarpella maydis),Fungus,"Cool, wet weather during late grain fill","White mold between kernels, husks prematurely browning",High ear moisture persists until R6,"Crop rotation, residue removal","Humidity spikes, NDVI decline on ear zone"
corn,Physiological Maturity (R6),Gibberella Ear Rot (Fusarium graminearum),Fungus,"Cool, wet periods",Pink–red fungal growth near ear tip,Slow drying at R6 favors fungal survival,"Timely harvest, air movement, early fungicide (VT–R1)","RH > 90%, >48 hrs wetness, tip discoloration"
corn,Physiological Maturity (R6),Fusarium Ear Rot (F. verticillioides),Fungus,"Warm, alternating humid–dry",Chalky white–pink mold; lighter kernels,"R6 kernels still high moisture, slow dry-down","Control insects, irrigation scheduling","Dry-humid cycle patterns, NDVI tip discoloration"
corn,Physiological Maturity (R6),Aspergillus Ear Rot (A. flavus),Fungus,"Hot (>32°C), drought",Yellow-green mold; aflatoxin risk,Heat stress during drying accelerates infection,"Avoid drought stress, timely harvest","Thermal hotspots, soil moisture < 25%"
corn,Physiological Maturity (R6),Common Rust (late-season) (Puccinia sorghi),Fungus,"Cool–moderate, humid",Pustules persist causing delayed dry-down,Late rust reduces leaf dry-down → higher grain moisture,"Resistant varieties, fungicide earlier (VT–R1)","RH > 70%, late NDVI decline"
corn,Physiological Maturity (R6),Gray Leaf Spot (late lesions),Fungus,Warm + humid,Lesions dry but reduce stalk strength,Reduced photosynthesis → stalk rot increases,"Maintain airflow, rotate crops","High humidity patches, NDVI striping"
corn,Physiological Maturity (R6),Corn Earworm (late damage),Pest,Warm nights,"Entry holes, missing kernels, secondary rot",R6 kernels still attractive to late larvae,"Pheromone traps, harvest on time","High trap counts, visible tip damage"
corn,Physiological Maturity (R6),Fall Armyworm (late feeding),Pest,"Warm, humid","Minor kernel chewing, husk tearing",Weak husks at R6 allow late infestation,Threshold-based insecticide,"Larval count, NDVI tearing"
corn,Physiological Maturity (R6),Root-Knot Nematodes,Nematode,Warm soil > 25°C,"Late-season stunting, poor standability",Stressed roots → poor nutrient flow during dry-down,"Crop rotation, nematicides","Patchy NDVI zones, soil moisture inconsistencies"
corn,Harvest,Fusarium Ear Rot,Fungus,"Warm (25–30°C), high humidity, rainfall during grain fill to harvest","Pinkish-white mold on kernels, lightweight shriveled grains",Mature ears with exposed husks are easily infected through silk and insect wounds,"Timely harvesting, use resistant hybrids, proper drying of grains, field sanitation","Increased humidity near harvest, ear damage from insects, drop in grain test weight"
corn,Harvest,Gibberella Ear Rot,Fungus,Cool to moderate temperatures with continuous rainfall,"Reddish-pink mold starting from ear tip, toxin contamination risk",Prolonged moisture during maturity favors spore spread on ears,"Crop rotation, residue management, early harvesting","Wet weather pattern, persistent cloud cover, NDVI decline in ear zone"
corn,Harvest,Aspergillus Ear Rot,Fungus,"Hot (>30°C), drought stress followed by humidity","Greenish-yellow powdery mold, aflatoxin risk",Drought-stressed plants are highly susceptible at grain maturity,"Irrigation management, resistant varieties, rapid post-harvest drying","High temperature spikes, low soil moisture then sudden humidity"
corn,Harvest,Charcoal Rot,Fungus,"Hot, dry soil conditions at maturity","Premature drying of plants, gray-black discoloration inside stalks",Water stress weakens plants at harvesting stage,"Adequate irrigation during late growth, balanced fertilization","Soil moisture below threshold, persistent heat waves"
corn,Harvest,Bacterial Stalk Rot,Bacteria,Hot and wet weather with waterlogged soils,"Soft, foul-smelling stalks, plant lodging before harvest",High sugar accumulation weakens stalk tissues near harvest,"Proper drainage, avoid excess nitrogen, balanced potassium","High soil moisture, sudden plant lodging, humidity >85%"
corn,Harvest,Corn Smut (Late Infection),Fungus,Moderate temperature with intermittent rain,Large gray galls on ears and stalks visible at harvest,Soft tissues near maturity allow secondary infection,"Remove infected plants, deep plowing, resistant hybrids","Visible gall formation, localized NDVI drop"
corn,Harvest,Stem Borer (Carry-over Damage),Pest,"Warm temperatures, dry-to-moderate humidity","Broken stalks, poor grain filling, ear drop",Larval tunneling weakens stalks making harvest losses severe,"Timely pest control earlier, destruction of crop residues","High moth trap counts earlier, stalk lodging percentage"
corn,Harvest,Root Rot Complex,Fungus,"Poorly drained soils, continuous cropping","Plants easily pulled out, root decay visible during harvest",Damaged roots reduce nutrient uptake till maturity,"Crop rotation, raised beds, seed treatment in next cycle","Waterlogging frequency, weak root anchorage"
corn,Post-Harvest,Aspergillus Storage Mold (Aflatoxin),Fungus,"Hot (>30°C), grain moisture >13–14%, poor aeration","Greenish-yellow mold on kernels, musty smell, aflatoxin contamination",High moisture and warm temperature after harvest strongly favor toxin-producing fungi,"Dry grain below 12–13% moisture, proper aeration, clean storage bins","Grain moisture level, temperature inside storage, aflatoxin rapid test"
corn,Post-Harvest,Fusarium Storage Rot,Fungus,"Moderate temperature, high humidity in storage","White to pink fungal growth on grains, kernel shrinkage",Field-infected kernels continue infection during storage,"Proper drying, discard damaged kernels, sanitation of godowns","Visible mold patches, increase in broken grain %, humidity inside store"
corn,Post-Harvest,Penicillium Blue Mold,Fungus,"Cool to moderate temp, high moisture in storage","Blue-green mold on grain surface, heating of grain mass",Moist grain at storage encourages rapid fungal colonization,"Store only dry grain, regular turning of grain, fumigation if required","Hot spots in storage, rising CO₂ levels, grain temperature sensors"
corn,Post-Harvest,Bacterial Soft Rot (Stored Cobs),Bacteria,"High moisture, water condensation in storage","Soft, slimy decay with foul odor",Wet cobs after harvest allow bacterial multiplication,"Avoid storing wet cobs, sun-drying, hygienic handling","Condensation on storage walls, foul smell detection"
corn,Post-Harvest,Maize Weevil,Pest,"Warm temperature (25–35°C), moderate humidity","Circular holes in kernels, powdery frass, weight loss",Dry stored grain is highly vulnerable to hidden infestations,"Phosphine fumigation, airtight storage, neem-based protectants","Insect trap counts, live insect detection per kg grain"
corn,Post-Harvest,Larger Grain Borer,Pest,"Hot, dry storage conditions","Extensive tunneling inside kernels, rapid grain destruction",Post-harvest stage provides uninterrupted food source,"Hermetic bags, regular fumigation, sealed godowns","Rapid rise in broken grain %, pest count per sample"
corn,Post-Harvest,Rice Moth (Angoumois Grain Moth),Pest,Warm and moderately humid storage,"Silk webbing on grains, hollow grains",Eggs laid on stored grain immediately after harvest,"Clean storage before filling, light traps, fumigation","Adult moth trap captures, webbing presence"
corn,Post-Harvest,Storage Mites,Pest,High humidity >70% in storage,"Powdery residue, heating of grains, reduced market quality",Moist grain supports rapid mite multiplication,"Maintain low humidity, regular inspection, sanitation","Relative humidity inside store, fine dust accumulation"
corn,Post-Harvest,Mycotoxin Contamination (General),Secondary Effect (Fungal),Prolonged storage with moisture and warmth,No visible symptom sometimes; detected in lab tests,Invisible toxin buildup despite clean-looking grain,"Periodic lab testing, strict moisture control","Mycotoxin test reports, prolonged high humidity trends"
,,,,,,,,
,,,,,,,,
Toor,Seed Treatment Sowing,Fusarium Wilt,Fungus,"Warm to moderate soil temperatures (20-25°C), high soil moisture, poor drainage",No visible symptoms at seed stage; seeds may show slight discoloration if infected,Seeds are highly susceptible if contaminated; fungus survives in soil and seed coat,"Use fungicide-treated seeds, crop rotation with non-host crops, soil solarization","Seed viability tests, fungal spore counts in soil samples, choose pathogen-free seed lots"
Toor,Seed Treatment Sowing,Root Rot,Fungus,"Cool, wet soils (15-20°C), high moisture, poor aeration","Seeds may rot before germination, soft seed decay",Seeds in prolonged contact with moist soil; fungal pathogens attack weak seeds,"Treated seeds, well-drained soil, avoid early sowing in cold wet soils","Soil moisture levels 60-70%, drainage assessment, seed germination tests"
Toor,Seed Treatment Sowing,Bacterial Blight,Bacteria,"Warm to moderate temperatures (20-25°C), high humidity, wet conditions",No visible symptoms at seed stage; seeds may show slight water soaking if heavily infected,Bacterial pathogens can be seed-borne; survive on seed coat and in soil,"Use pathogen-free seeds, copper-based seed treatments, disinfect seed before sowing","Seed health certification, bacterial spore counts, chlorophyll leaching tests"
Toor,Seed Treatment Sowing,Nematode Infestation,Nematode,"Warm, moist soils (22-28°C), sandy soils with organic matter",No symptoms visible at seed stage,Nematodes in soil can attack emerging roots causing stunting later,"Use nematode-free seeds, soil solarization, crop rotation, nematicide treatments","Soil nematode population counts, sandy soil assessment, seed origin verification"
Toor,Germination Emergence,Fusarium Wilt,Fungus,"Warm to moderate (20-25°C), high soil moisture","Slowed germination, seedling blight, root discoloration",Germinating seeds have weak defense; fungus attacks from soil,"Fungicide seed treatment, well-drained soil, avoid waterlogging","Soil temperature, seedling emergence rate, root discoloration checks, soil fungal counts"
Toor,Germination Emergence,Dry Root Rot,Fungus,Warm soils (20-25°C) alternating with dry periods,"Poor emergence, seedling blight, brown root lesions","Fungus attacks young roots, alternating moisture stresses the plant","Treated seeds, proper drainage, balanced soil moisture, avoid drought stress","Emergence percentage, root browning assessment, soil moisture fluctuations"
Toor,Germination Emergence,Phytophthora Blight,Fungus,"Cool, wet soils (15-20°C), high humidity, waterlogged conditions","Damping-off, seedling collapse, water-soaked stems",Oomycete pathogen thrives in wet soil; seedlings have no disease resistance yet,"Improve soil drainage, avoid waterlogging, use fungicide seed treatment","Soil moisture monitoring, drainage assessment, seedling vigor tracking"
Toor,Germination Emergence,Alternaria Leaf Spot,Fungus,"Warm, humid (20-25°C), high relative humidity (>80%)","Small tan to brown lesions on emerging leaves, stunting",Emerging seedling leaves are tender and susceptible to spore infection,"Use treated seeds, improve air circulation, avoid overhead irrigation","Leaf wetness duration, humidity levels, lesion counting"
Toor,Seedling Stage,Fusarium Wilt,Fungus,"Warm to moderate (18-25°C), moist soil","Wilting, stunting, brown discoloration near roots, seedling death",Fusarium vascular pathogen attacks weak seedling roots,"Fungicide treatment, resistant varieties, crop rotation","Root disease monitoring, wilting symptoms, soil fungal surveys"
Toor,Seedling Stage,Phytophthora Blight,Fungus,"Cool, wet (15-18°C), high humidity","Water-soaked lesions, seedling collapse, root rot",Waterlogged conditions favor oomycete spread on tender tissues,"Good drainage, avoid waterlogging, seed fungicide","Damping-off incidence, root assessment, soil saturation"
Toor,Seedling Stage,Alternaria Blight,Fungus,"Warm, humid (22-28°C), prolonged leaf wetness","Brown to black lesions on leaves, seedling blight, yellowing",Young leaves tender; high humidity promotes spore germination and spread,"Fungicide treatment, improve air circulation, remove infected plants","Leaf wetness duration, humidity spikes, lesion progression"
Toor,Seedling Stage,Sterility Mosaic Disease,Virus,"Warm conditions (25-30°C), presence of thrips or aphids","Mottling, yellow patterns on young leaves, stunting",Viral transmission through insect vectors; seedlings cannot recover,"Use virus-free seeds, control vector insects, remove infected plants","Insect vector counts, mottling pattern detection, NDVI anomalies"
Toor,Seedling Stage,Dry Root Rot,Fungus,"Warm soils (22-25°C), alternating dry-wet cycles","Poor seedling vigor, brown root lesions, stunting",Fungus attacks tender roots during stress periods,"Resistant varieties, maintain balanced moisture, avoid drought stress","Root browning, seedling vigor rating, soil moisture monitoring"
Toor,Seedling Stage,Fusarium Wilt,Fungus,"Moderate to warm (20-28°C), moist soils","Progressive wilting from bottom to top, yellowing, plant death",Vascular pathogen spreads through root system; plants cannot absorb water,"Crop rotation, resistant varieties, avoid waterlogging","Wilting progression, vascular discoloration, soil pathogen surveys"
Toor,Vegetative Growth,Dry Root Rot,Fungus,"Warm (22-28°C), dry spells alternating with rains","Stunting, yellowing, premature senescence",Root infection reduces nutrient uptake during stress,"Resistant hybrids, proper irrigation, avoid drought","Root health monitoring, leaf yellowing tracking, plant vigor assessment"
Toor,Vegetative Growth,Phytophthora Blight,Fungus,"Cool, wet (15-20°C), high humidity, waterlogged","Water-soaked lesions on stems and leaves, blighting",Rapidly spreading oomycete in wet conditions; plant tissues still relatively tender,"Improve drainage, avoid waterlogging, apply fungicide","Soil saturation monitoring, canopy wetness duration, lesion spread rate"
Toor,Vegetative Growth,Alternaria Blight,Fungus,"Warm to hot (25-30°C), high humidity, prolonged leaf wetness",Brown to black lesions with concentric rings on leaves,Rapid leaf expansion increases disease susceptibility and spore contact,"Fungicide sprays, remove lower infected leaves, improve air flow","Leaf wetness tracking, humidity spikes, lesion severity monitoring"
Toor,Vegetative Growth,Sterility Mosaic Disease,Virus,"Warm (25-32°C), high vector activity","Mottling, yellow streaks, leaf curl, stunting",Viral vectors active during warm vegetative growth; plants cannot recover,"Control vectors (thrips/aphids), use resistant varieties, remove infected plants","Vector population monitoring, mottling symptom tracking, NDVI anomalies"
Toor,Vegetative Growth,Powdery Mildew,Fungus,"Warm days, cool nights (18-24°C), low humidity, shaded canopy",White powdery coating on leaves and stems,Pathogen thrives in moderate temps with dry leaves but in canopy shade,"Improve plant spacing, increase air circulation, sulfur dusts","Canopy density assessment, powdery coating detection, humidity variation"
Toor,Pre-Flowering Budding,Fusarium Wilt,Fungus,"Warm (22-28°C), moist soils","Wilting, vascular discoloration, leaf yellowing, plant death",Plant entering critical reproductive stage; vascular blockage cuts off water,"Resistant varieties, crop rotation, avoid waterlogging","Wilting symptoms, vascular browning in stems, soil pathogen counts"
Toor,Pre-Flowering Budding,Phytophthora Blight,Fungus,"Cool, wet (15-20°C), high humidity, waterlogged soils",Water-soaked blighting of buds and flower stems,Oomycete rapidly destroys tender flower tissues in wet conditions,"Improve drainage, fungicide applications, remove infected tissues","Bud blight incidence, soil saturation level, lesion spread rate"
Toor,Pre-Flowering Budding,Powdery Mildew,Fungus,"Warm days, cool nights (18-24°C), low humidity",White powdery coating on leaves and flower buds,Pathogen thrives on developing buds and flower parts in moderate conditions,"Improve spacing, sulfur dust applications, biological fungicides","Powdery coating detection, canopy air movement assessment"
Toor,Pre-Flowering Budding,Sterility Mosaic Disease,Virus,"Warm (25-30°C), high insect vector activity","Mottling on buds, leaf curl, flower distortion",Viral vectors transmit disease to reproductive tissues; flowers abort,"Vector control, resistant varieties, remove infected plants","Vector population, bud deformation assessment, NDVI patterns"
Toor,Pre-Flowering Budding,Alternaria Blight,Fungus,"Warm, humid (24-28°C), prolonged leaf wetness","Brown lesions on flower bracts and buds, bud blighting",Spores infect developing reproductive tissues during high humidity,"Fungicide sprays, remove lower leaves, improve air circulation","Bud lesion counting, leaf wetness periods, humidity levels"
Toor,Flowering,Fusarium Wilt,Fungus,"Warm (22-28°C), moist soils","Pre-mature flower abortion, wilting, plant collapse",Vascular blockage prevents water uptake during critical flowering,"Crop rotation, resistant varieties, avoid overwatering","Flower abortion counting, vascular discoloration, soil pathogen presence"
Toor,Flowering,Phytophthora Blight,Fungus,"Cool, wet (15-20°C), high humidity, waterlogged","Water-soaked blighting of flowers, pod abortion",Oomycete destroys tender flower and pod tissues in wet conditions,"Improve drainage, fungicide sprays, remove infected tissues","Flower blight incidence, soil saturation, lesion spread"
Toor,Flowering,Powdery Mildew,Fungus,"Warm days, cool nights (18-24°C), low humidity, shaded canopy",White powdery coating on flowers and leaves,Pathogen affects flower development and pollination,"Improve plant spacing, sulfur treatments, biological fungicides","Powdery coating detection, flower quality assessment"
Toor,Flowering,Sterility Mosaic Disease,Virus,"Warm (25-30°C), high vector activity","Flower deformation, incomplete flower development",Viral infection prevents normal flower development,"Vector control, remove infected plants, resistant varieties","Vector population, flower malformation counting"
Toor,Flowering,Alternaria Blight,Fungus,"Warm, humid (24-28°C), prolonged leaf wetness",Brown lesions on flowers and flower bracts,Spores attack developing flowers reducing fruit set,"Fungicide sprays, remove lower infected leaves, improve air flow","Flower lesion assessment, leaf wetness period tracking"
Toor,Pod Formation,Fusarium Wilt,Fungus,"Warm (22-28°C), moist soils","Pod abortion, yellowing, plant wilting",Vascular blockage prevents water and nutrient translocation to pods,"Crop rotation, resistant varieties, irrigation management","Pod abortion counting, vascular discoloration, wilt progression"
Toor,Pod Formation,Phytophthora Blight,Fungus,"Cool, wet (15-20°C), high humidity, waterlogged soils","Water-soaked blighting of pods, pod rot",Oomycete rapidly colonizes developing pods in wet conditions,"Improve drainage, fungicide applications, remove infected pods","Pod blight incidence, soil saturation level, lesion expansion"
Toor,Pod Formation,Alternaria Blight,Fungus,"Warm, humid (24-28°C), prolonged leaf wetness","Brown lesions on pods, pod surface scarring",Spores from leaves infect developing pod surface,"Fungicide sprays, improve air circulation, remove infected leaves","Pod lesion counting, leaf wetness periods, humidity monitoring"
Toor,Pod Formation,Pod Borer,Pest,"Warm, dry conditions (25-32°C), low rainfall","Boreholes in pods, larval frass, hollow pods, seed damage",Larval feeding inside developing pods; high survival rate in dry weather,"Pheromone traps, insecticide sprays, biological controls","Pheromone trap counts, boreholes per pod assessment, larval presence"
Toor,Pod Formation,Tur Pod Fly,Pest,"Warm (25-30°C), moderate humidity, low rainfall","Boreholeson pods, whitish maggots inside pods",Maggots feed on developing seeds; multiple generations in warm season,"Adultly monitoring with traps, removal of infested pods, insecticide","Maggot presence, pod infestation percentage, fly trap counts"
Toor,Maturity,Fusarium Wilt,Fungus,Warm to moderate (20-26°C),"Premature plant senescence, incomplete pod fill, yellowing",Vascular dysfunction persists; cannot meet final nutrient demands of pods,"Crop rotation, resistant varieties, proper field management","Pod fill assessment, premature senescence counting, harvest timing"
Toor,Maturity,Phytophthora Blight,Fungus,"Cool, wet (15-18°C), high humidity","Pod rot, mold on pod surface",Waterlogged conditions promote late season pod rot,"Improve drainage before maturity, fungicide if needed","Pod rot percentage, soil moisture level, late season rainfall"
Toor,Maturity,Alternaria Blight,Fungus,"Warm to moderate, high humidity","Pod surface lesions, seed coat staining",Late infection reduces seed quality and germination,"Fungicide sprays if severe, proper field sanitation","Pod lesion assessment, seed staining evaluation"
Toor,Maturity,Powdery Mildew,Fungus,"Warm days, cool nights, low humidity",Powdery coating on pods and stems,Late season infection may reduce seed quality,"Remove infected plant parts, improve air circulation","Powdery coating detection, pod quality assessment"
Toor,Maturity,Sterility Mosaic Disease,Virus,Warm (25-30°C),"Mottled pods, poor seed fill",Viral infection reduces final seed quality and yield,"Remove infected plants, vector control","Pod quality evaluation, seed fill percentage"
Toor,Maturity,Anthracnose,Fungus,"Warm, wet (22-28°C), high humidity, rainfall","Small lesions on pods, black spots on seeds",Fungal spores infect maturing seed coats,"Remove infected plant material, crop rotation","Lesion counting on pods, seed quality checks"
Toor,Harvest,Fusarium Wilt,Fungus,Warm (20-28°C),"Poor grain quality, lightweight seeds",Plant death before harvest maturity; severe yield impact,"Timely harvest, resistant varieties, crop rotation","Seed weight assessment, harvest readiness evaluation"
Toor,Harvest,Phytophthora Blight,Fungus,"Cool, wet (15-20°C), high humidity","Pod and seed rot, mold",Continued wet conditions favor pre-harvest rot,"Rapid harvest, proper drying, storage conditions","Pod condition at harvest, seed moisture level, fungal contamination"
Toor,Harvest,Alternaria Blight,Fungus,"Warm, humid, rainfall","Seed coat staining, reduced seed quality",Late infection reduces market value of harvest,"Proper harvest timing, seed treatment","Seed quality grading, fungal colony counts"
Toor,Harvest,Powdery Mildew,Fungus,"Moderate temperature, low humidity",Powdery residue on seeds,Late season infection affects seed quality,"Proper field cleanup, seed treatment","Seed surface cleaning, quality assessment"
